Cluster_sseqid,ICTV_Realm,ICTV_Kingdom,ICTV_Phylum,ICTV_Subphylum,ICTV_Class,ICTV_Order,ICTV_Suborder,ICTV_Family,ICTV_Subfamily,ICTV_Genus,ICTV_Species,RdRP_id,Taxonid,NR_id,identity,NR_kindom,NR_phylum,NR_class,NR_order,NR_family,NR_genus,NR_species
Amphibia_GECV01031551_Microhyla_fissipes,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,,,,,,,,,,,,,,
NP_073549_Human_coronavirus_229E,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Human coronavirus 229E,NP_073549_Human_coronavirus_229E,11137,NP_073549.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Human coronavirus 229E
Reptile_ZGLXR118981_Guangdong_chinese_water_skink_coronavirus_22445bp,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,,,,Reptile_ZGLXR118981_Guangdong_chinese_water_skink_coronavirus_22445bp,2116470,AVM87573.1,99.964,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,unclassified Coronaviridae genus,Guangdong chinese water skink coronavirus
UVF62111.1_Bat_faecal_coronavirus_Pteropus_poliocephalus_6879,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Betacoronavirus,,UVF62111.1_Bat_faecal_coronavirus_Pteropus_poliocephalus_6879,2972746,UVF62111.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,unclassified Coronaviridae genus,Bat faecal coronavirus
YP_009755832.1_Rodent_coronavirus_7128,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Betacoronavirus,Myodes coronavirus 2JL14,YP_009755832.1_Rodent_coronavirus_7128,2050018,YP_009755832.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,unclassified Coronaviridae genus,Rodent coronavirus
YP_009755838.1_Shrew_coronavirus_6381,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Sorex araneus coronavirus T14,YP_009755838.1_Shrew_coronavirus_6381,2050019,YP_009755838.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,unclassified Coronaviridae genus,Shrew coronavirus
YP_009755889.1_Alphacoronavirus_Bat-CoV/P.kuhlii/Italy/3398-19/2015_6631,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Pipistrellus kuhlii coronavirus 3398,YP_009755889.1_Alphacoronavirus_Bat-CoV/P.kuhlii/Italy/3398-19/2015_6631,2492658,YP_009755889.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015
YP_009755895.1_Canada_goose_coronavirus_6510,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Gammacoronavirus,Goose coronavirus CB17,YP_009755895.1_Canada_goose_coronavirus_6510,2569586,YP_009755895.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,Canada goose coronavirus
BHJJX25971_Beihai_hermit_crab_virus_4,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Ronidovirineae,Euroniviridae,Ceronivirinae,Paguronivirus,Paguronivirus 1,BHJJX25971_Beihai_hermit_crab_virus_4,1922391,YP_009333323.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Euroniviridae,Paguronivirus,Paguronivirus 1
BHXun32263_Beihai_Nido-like_virus_2,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Ronidovirineae,Euroniviridae,Ceronivirinae,Charybnivirus,Charybnivirus 1,BHXun32263_Beihai_Nido-like_virus_2,1922351,YP_009333332.1,99.384,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Euroniviridae,Charybnivirus,Charybnivirus 1
WLJQ99370_Wenling_virus_1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Ronidovirineae,Euroniviridae,Ceronivirinae,Charybnivirus,Decronivirus 1,WLJQ99370_Wenling_virus_1,1923510,YP_009336549.1,99.959,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Euroniviridae,Charybnivirus,Decronivirus 1
BZL87871_Beihai_Nido-like_virus_1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Mesnidovirineae,Mesoniviridae,,,,BZL87871_Beihai_Nido-like_virus_1,1922350,YP_009333345.1,99.871,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Medioniviridae,Turrinivirus,Turrinivirus 1
NC_015874_Nam_Dinh_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Mesnidovirineae,Mesoniviridae,Hexponivirinae,Alphamesonivirus,Alphamesonivirus 1,NC_015874_Nam_Dinh_virus,325676,YP_004767305.1,99.923,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Mesoniviridae,Alphamesonivirus,Alphamesonivirus 1
NC_020900_Meno_virus_strain,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Mesnidovirineae,Mesoniviridae,Hexponivirinae,Alphamesonivirus,Alphamesonivirus 9,NC_020900_Meno_virus_strain,1945561,YP_007697636.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Mesoniviridae,Alphamesonivirus,Alphamesonivirus 3
NC_020901_Nse_virus_strain,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Mesnidovirineae,Mesoniviridae,Hexponivirinae,Alphamesonivirus,Alphamesonivirus 8,NC_020901_Nse_virus_strain,1945562,YP_007697642.1,99.923,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Mesoniviridae,Alphamesonivirus,Alphamesonivirus 4
YP_009551696.1_Yichang_virus_5365,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Mesnidovirineae,Mesoniviridae,Hexponivirinae,Alphamesonivirus,Alphamesonivirus 11,YP_009551696.1_Yichang_virus_5365,2053026,YP_009551696.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Mesoniviridae,Alphamesonivirus,Alphamesonivirus 11
SCM49454_Wuhan_virus_1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,,,,,,SCM49454_Wuhan_virus_1,1923743,YP_009345058.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wuhan nido-like virus 1
shrimp13441_Wenzhou_Nido-like_virus_1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,,,,,,shrimp13441_Wenzhou_Nido-like_virus_1,1923552,APG77328.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wenzhou Nido-like virus 1
SSZZ3468_Hubei_tetragnatha_maxillosa_virus_7,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,,,,,,SSZZ3468_Hubei_tetragnatha_maxillosa_virus_7,1923249,YP_009336500.1,99.94,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Hubei tetragnatha maxillosa virus 7
WHCCII13334_Wuhan_insect_virus_19,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,,,,,,WHCCII13334_Wuhan_insect_virus_19,1923723,YP_009342322.1,99.37,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wuhan insect virus 19
YP_009551452.1_PSCNV_Planarian_secretory_cell_nidovirus_PSCNV_13556,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Monidovirineae,Mononiviridae,Mononivirinae,Alphamononivirus,Planidovirus 1,YP_009551452.1_PSCNV_Planarian_secretory_cell_nidovirus_PSCNV_13556,2100419,YP_009551452.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Mononiviridae,Alphamononivirus,Planidovirus 1
YP_009553214.1_Aplysia_californica_virus_8376,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,,,,,,YP_009553214.1_Aplysia_californica_virus_8376,2283236,YP_009553214.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,unclassified Nidovirales family,unclassified Nidovirales genus,Aplysia californica nido-like virus
NC_010306_Gill-associated_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Ronidovirineae,Roniviridae,Okanivirinae,Okavirus,Okavirus branchiae,NC_010306_Gill-associated_virus,96491,YP_001661452.1,99.772,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Roniviridae,Okavirus,Gill-associated virus
NC_007447_Breda_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Torovirinae,Torovirus,Bovine torovirus,NC_007447_Breda_virus,360393,P0C6V8.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Tobaniviridae,Torovirus,Bovine torovirus
NC_008516_White_bream_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Piscanivirinae,Bafinivirus,White bream virus,NC_008516_White_bream_virus,405554,YP_803213.1,99.7,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Tobaniviridae,Bafinivirus,White bream virus
NC_022787_Porcine_torovirus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Torovirinae,Torovirus,Porcine torovirus,NC_022787_Porcine_torovirus,237020,YP_008798230.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Tobaniviridae,Torovirus,Porcine torovirus
NC_024709_Ball_python_nidovirus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Serpentovirinae,Pregotovirus,Ball python nidovirus 1,NC_024709_Ball_python_nidovirus,1986118,YP_009052475.1,99.914,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Tobaniviridae,Pregotovirus,Ball python nidovirus 1
QRC47039.1_Veiled_chameleon_serpentovirus_B_Chamaeleo_calyptratus_8927,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Serpentovirinae,Vebetovirus,Vebetovirus paba,QRC47039.1_Veiled_chameleon_serpentovirus_B_Chamaeleo_calyptratus_8927,2806430,QRC47039.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Tobaniviridae,Vebetovirus,Vebetovirus paba
XZSJSC61041_Xinzhou_nematode_virus_6,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Serpentovirinae,Sectovirus,Sectovirus 1,XZSJSC61041_Xinzhou_nematode_virus_6,1923774,YP_009666299.1,99.914,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Tobaniviridae,Sectovirus,Sectovirus 1
XZSJSC65757_Xinzhou_toro-like_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Serpentovirinae,Infratovirus,Infratovirus 1,XZSJSC65757_Xinzhou_toro-like_virus,1923777,YP_009344970.1,99.912,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Tobaniviridae,Infratovirus,Infratovirus 1
YP_009755843.1_Bellinger_River_virus_7459,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,Serpentovirinae,Pregotovirus,Berisnavirus 1,YP_009755843.1_Bellinger_River_virus_7459,2301728,YP_009755843.1,100,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Tobaniviridae,Pregotovirus,Berisnavirus 1
other-negative-like_YP_009345119.1_Xinzhou_nematode_virus_3,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,Yingvirus xinzhouense,other-negative-like_YP_009345119.1_Xinzhou_nematode_virus_3,1923771,YP_009345119.1,100,Viruses,Negarnaviricota,Chunqiuviricetes,Muvirales,Qinviridae,Yingvirus,Yingvirus xinzhouense
other-negative-like_QGA70948.1_Vittskovle_virus,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,,,other-negative-like_QGA70948.1_Vittskovle_virus,2651949,QGA70948.1,100,Viruses,Negarnaviricota,Chunqiuviricetes,Muvirales,Qinviridae,unclassified Qinviridae genus,Vittskovle virus
other-negative-like_QGA70924.1_Vinslov_virus,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,,,other-negative-like_QGA70924.1_Vinslov_virus,2651948,QGA70924.1,100,Viruses,Negarnaviricota,Chunqiuviricetes,Muvirales,Qinviridae,unclassified Qinviridae genus,Vinslov virus
other-negative-like_QGA70919.1_Nackenback_virus,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,,,other-negative-like_QGA70919.1_Nackenback_virus,2651951,QGA70919.1,100,Viruses,Negarnaviricota,Chunqiuviricetes,Muvirales,Qinviridae,unclassified Qinviridae genus,Nackenback virus
other-negative-like_QGA70917.1_Gran_virus,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,,,other-negative-like_QGA70917.1_Gran_virus,2651950,QGA70917.1,100,Viruses,Negarnaviricota,Chunqiuviricetes,Muvirales,Qinviridae,unclassified Qinviridae genus,Gran virus
arthropodmix12819_Hubei_partiti-like_virus_2,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,arthropodmix12819_Hubei_partiti-like_virus_2,1923026,APG78155.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Hubei partiti-like virus 2
BAU79482_Diatom_colony_associated_dsRNA_virus_1,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BAU79482_Diatom_colony_associated_dsRNA_virus_1,1678159,BAU79482.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,unclassified Picobirnaviridae genus,Diatom colony associated dsRNA virus 1
BHHK112924_Beihai_partiti-like_virus_3,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHHK112924_Beihai_partiti-like_virus_3,1922505,APG78165.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai partiti-like virus 3
BHJJX16459_Beihai_picobirna-like_virus_6,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHJJX16459_Beihai_picobirna-like_virus_6,1922523,APG78167.1,99.837,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 6
BHJJX24179_Beihai_picobirna-like_virus_4,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHJJX24179_Beihai_picobirna-like_virus_4,1922521,APG78169.1,99.833,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 4
BHJJX25000_Beihai_picobirna-like_virus_5,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHJJX25000_Beihai_picobirna-like_virus_5,1922522,APG78170.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 5
BHJJX25356_Beihai_picobirna-like_virus_1,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHJJX25356_Beihai_picobirna-like_virus_1,1922514,APG78168.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 1
BHJJX66797_Beihai_picobirna-like_virus_2,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHJJX66797_Beihai_picobirna-like_virus_2,1922519,APG78171.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 2
BHNXC57916_BHZC50960_BHJJX15399_BHBJDX17263_etc_Beihai_picobirna-like_virus_7,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHNXC57916_BHZC50960_BHJJX15399_BHBJDX17263_etc_Beihai_picobirna-like_virus_7,1922524,YP_009333352.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 7
BHNXC71065_BHZC29883_Beihai_picobirna-like_virus_8,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHNXC71065_BHZC29883_Beihai_picobirna-like_virus_8,1922525,YP_009333349.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 8
BHTH13093_Beihai_picobirna-like_virus_3,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHTH13093_Beihai_picobirna-like_virus_3,1922520,APG78176.1,99.848,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 3
BHTH16091_Beihai_barnacle_virus_12,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHTH16091_Beihai_barnacle_virus_12,1922356,YP_009333370.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai barnacle virus 12
BHTH16173_Beihai_barnacle_virus_13,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHTH16173_Beihai_barnacle_virus_13,1922357,YP_009329869.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai barnacle virus 13
BHTH35712_Beihai_barnacle_virus_14,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHTH35712_Beihai_barnacle_virus_14,1922358,APG78182.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai barnacle virus 14
BHTSS8738_Beihai_partiti-like_virus_1,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHTSS8738_Beihai_partiti-like_virus_1,1922501,APG78183.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai partiti-like virus 1
BHWZXX14306_BHBJDX17847_Beihai_partiti-like_virus_11,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHWZXX14306_BHBJDX17847_Beihai_partiti-like_virus_11,1922503,APG78185.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai partiti-like virus 11
BHXG11739_Beihai_partiti-like_virus_9,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHXG11739_Beihai_partiti-like_virus_9,1922511,APG78186.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai partiti-like virus 9
BHZC32520_Beihai_picobirna-like_virus_9,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHZC32520_Beihai_picobirna-like_virus_9,1922526,APG78188.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 9
BHZC36678_Beihai_picobirna-like_virus_12,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHZC36678_Beihai_picobirna-like_virus_12,1922517,APG78190.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 12
BHZC36972_Beihai_picobirna-like_virus_10,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHZC36972_Beihai_picobirna-like_virus_10,1922515,APG78191.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 10
BHZY110439_Beihai_partiti-like_virus_6,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHZY110439_Beihai_partiti-like_virus_6,1922508,APG78195.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai partiti-like virus 6
BHZY58752_Beihai_picobirna-like_virus_13,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHZY58752_Beihai_picobirna-like_virus_13,1922518,APG78193.1,99.798,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 13
BHZY60797_Beihai_partiti-like_virus_2,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BHZY60797_Beihai_partiti-like_virus_2,1922504,YP_009333350.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai partiti-like virus 2
BWBFG40030_Beihai_picobirna-like_virus_11,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,BWBFG40030_Beihai_picobirna-like_virus_11,1922516,APG78198.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picobirna-like virus 11
CC64001_Wuhan_insect_virus_24,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,CC64001_Wuhan_insect_virus_24,1923728,APG78199.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wuhan insect virus 24
CC64706_Wuhan_insect_virus_25,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,CC64706_Wuhan_insect_virus_25,1923729,APG78200.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wuhan insect virus 25
CJLX57436_Changjiang_partiti-like_virus_1,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,CJLX57436_Changjiang_partiti-like_virus_1,1922781,APG78201.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Changjiang partiti-like virus 1
DAZ90983.1_Alloteropsis_angusta_amalgavirus_1_Alloteropsis_angusta_1052,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ90989.1_Amaranthus_tuberculatus_amalgavirus_1_Amaranthus_tuberculatus_1049,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ90991.1_Amaranthus_tuberculatus_amalgavirus_2_Amaranthus_tuberculatus_1059,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ90995.1_Bletilla_striata_amalgavirus_1_Bletilla_striata_1055,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ91017.1_Gloriosa_superba_amalgavirus_1_Gloriosa_superba_1024,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ91019.1_Hevea_brasiliensis_amalgavirus_1_Hevea_brasiliensis_1072,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ91023.1_Myosoton_aquaticum_amalgavirus_1_Myosoton_aquaticum_1055,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ91031.1_Melilotus_officinalis_amalgavirus_1_Melilotus_officinalis_1057,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ91033.1_Melampyrum_roseum_amalgavirus_1_Melampyrum_roseum_1062,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ91037.1_Papaver_atlanticum_amalgavirus_1_Papaver_atlanticum_1055,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ91051.1_Rhyncholacis_penicillata_amalgavirus_1_1064,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ91053.1_Rhodiola_rosea_amalgavirus_1_Rhodiola_rosea_1092,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ91055.1_Swertia_japonica_amalgavirus_1_Swertia_japonica_1057,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
DAZ91061.1_Stevia_rebaudiana_amalgavirus_1_Stevia_rebaudiana_1049,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,,,,,,,,,,,
fly116610_Wuhan_fly_virus_6,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,fly116610_Wuhan_fly_virus_6,1923700,APG78203.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wuhan fly virus 6
fly34516_Wuhan_fly_virus_5,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,fly34516_Wuhan_fly_virus_5,1923699,YP_009342458.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wuhan fly virus 5
